Имя программы;Описание;Lang;Gitea;Forum;Wiki
@docky;Док-бар;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/docky;http://board.kolibrios.org/viewtopic.php?t=2455;
@ha;Hot Angles (выполнение системных действий путём наведения курсора в угол экрана);asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/other/ha;http://board.kolibrios.org/viewtopic.php?t=3762;
@icon;Рабочий стол;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/icon_new;http://board.kolibrios.org/viewtopic.php?t=1515;
@menu;Меню 'Пуск';asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/menu;http://board.kolibrios.org/viewtopic.php?t=1906;http://wiki.kolibrios.org/wiki/@menu/ru
@notify;Утилита для вывода уведомлений;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/notify3;http://board.kolibrios.org/viewtopic.php?t=2650;
@open;Диалог выбора программы;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/open;http://board.kolibrios.org/viewtopic.php?t=2997;
@ss;Скринсейвер. Хранитель экрана. Заставка экрана;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/scrsaver;http://board.kolibrios.org/viewtopic.php?t=3847;http://wiki.kolibrios.org/wiki/@ss/ru
@taskbar;Панель задач;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/taskbar;http://board.kolibrios.org/viewtopic.php?t=809;http://wiki.kolibrios.org/wiki/@taskbar/ru
@volume;Регулировщик звука;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/media/volume;http://board.kolibrios.org/viewtopic.php?t=3010;
app_plus;Виджет для монтирования программ из ISO-образа;c--;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/cmm/app_plus;;
charsets;Просмотрщик таблиц символов;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/develop/charsets;http://board.kolibrios.org/viewtopic.php?t=5709;
calc;Калькулятор;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/other/calc;http://board.kolibrios.org/viewtopic.php?t=392;http://wiki.kolibrios.org/wiki/Calc/ru
calendar;Системный календарь;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/calendar;http://board.kolibrios.org/viewtopic.php?t=705;http://wiki.kolibrios.org/wiki/Calendar/ru
colrdial;Диалог выбора цвета с палитрой;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/colrdial;http://board.kolibrios.org/viewtopic.php?t=1946;
cpu;Диспетчер процессов;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/cpu;http://board.kolibrios.org/viewtopic.php?t=2054;http://wiki.kolibrios.org/wiki/Cpu/ru
cpuid;Подробная информация о процессоре;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/testing/cpuid;http://board.kolibrios.org/viewtopic.php?t=594;http://wiki.kolibrios.org/wiki/Cpuid/ru
cropflat;Ограничение размеров отображаемой части экрана;asm;http://git.kolibrios.org/KolibriOS/kolibrios/src/branch/main/programs/system/cropflat;http://board.kolibrios.org/viewtopic.php?t=2071;
