Ambient light color: Red=0.039216 Green=0.039216 Blue=0.039216

Named object: "Object01"
Tri-mesh, Vertices: 512     Faces: 1024
Vertex list:
Vertex 0:  X: -99.192619     Y: 226.066895     Z: -0.00002
Vertex 1:  X: -97.418694     Y: 223.674133     Z: 14.974417
Vertex 2:  X: -92.366959     Y: 216.860184     Z: 27.66913
Vertex 3:  X: -84.806511     Y: 206.662369     Z: 36.15147
Vertex 4:  X: -75.888351     Y: 194.63324     Z: 39.130074
Vertex 5:  X: -66.9702     Y: 182.604095     Z: 36.15147
Vertex 6:  X: -59.409748     Y: 172.406281     Z: 27.669136
Vertex 7:  X: -54.358021     Y: 165.592316     Z: 14.974428
Vertex 8:  X: -52.584087     Y: 163.19957     Z: -0.000005
Vertex 9:  X: -54.358017     Y: 165.592316     Z: -14.974438
Vertex 10:  X: -59.409744     Y: 172.406265     Z: -27.669153
Vertex 11:  X: -66.970192     Y: 182.60408     Z: -36.151497
Vertex 12:  X: -75.888351     Y: 194.633224     Z: -39.1301
Vertex 13:  X: -84.806519     Y: 206.662369     Z: -36.151497
Vertex 14:  X: -92.366966     Y: 216.860184     Z: -27.669159
Vertex 15:  X: -97.418694     Y: 223.674149     Z: -14.974438
Vertex 16:  X: -142.843033     Y: 177.923004     Z: -0.000013
Vertex 17:  X: -140.288467     Y: 176.391266     Z: 14.974423
Vertex 18:  X: -133.013687     Y: 172.029205     Z: 27.669138
Vertex 19:  X: -122.126213     Y: 165.5009     Z: 36.151478
Vertex 20:  X: -109.283562     Y: 157.800262     Z: 39.130077
Vertex 21:  X: -96.440903     Y: 150.099609     Z: 36.151474
Vertex 22:  X: -85.553429     Y: 143.57132     Z: 27.669144
Vertex 23:  X: -78.278648     Y: 139.209259     Z: 14.974431
Vertex 24:  X: -75.724083     Y: 137.67749     Z: -0.000001
Vertex 25:  X: -78.278648     Y: 139.209244     Z: -14.974435
Vertex 26:  X: -85.553421     Y: 143.57132     Z: -27.669147
Vertex 27:  X: -96.440903     Y: 150.099594     Z: -36.151489
Vertex 28:  X: -109.283562     Y: 157.800247     Z: -39.130096
Vertex 29:  X: -122.126221     Y: 165.5009     Z: -36.151493
Vertex 30:  X: -133.013702     Y: 172.02919     Z: -27.669153
Vertex 31:  X: -140.288483     Y: 176.391266     Z: -14.97443
Vertex 32:  X: -164.746902     Y: 116.739586     Z: -0.000004
Vertex 33:  X: -161.800613     Y: 116.302017     Z: 14.974433
Vertex 34:  X: -153.410309     Y: 115.055931     Z: 27.669147
Vertex 35:  X: -140.853317     Y: 113.191032     Z: 36.151485
Vertex 36:  X: -126.041344     Y: 110.991234     Z: 39.130085
Vertex 37:  X: -111.22937     Y: 108.791435     Z: 36.151482
Vertex 38:  X: -98.672386     Y: 106.926529     Z: 27.669147
Vertex 39:  X: -90.282074     Y: 105.680443     Z: 14.974437
Vertex 40:  X: -87.335785     Y: 105.242874     Z: 0.000004
Vertex 41:  X: -90.282066     Y: 105.680443     Z: -14.974429
Vertex 42:  X: -98.672371     Y: 106.926521     Z: -27.669142
Vertex 43:  X: -111.229362     Y: 108.79142     Z: -36.151485
Vertex 44:  X: -126.041344     Y: 110.991219     Z: -39.130089
Vertex 45:  X: -140.853333     Y: 113.191025     Z: -36.151485
Vertex 46:  X: -153.410324     Y: 115.055923     Z: -27.669144
Vertex 47:  X: -161.800629     Y: 116.302017     Z: -14.974421
Vertex 48:  X: -161.569565     Y: 51.831223     Z: 0.000006
Vertex 49:  X: -158.680099     Y: 52.554459     Z: 14.974442
Vertex 50:  X: -150.451599     Y: 54.614059     Z: 27.669155
Vertex 51:  X: -138.136795     Y: 57.696468     Z: 36.151493
Vertex 52:  X: -123.610481     Y: 61.332413     Z: 39.130089
Vertex 53:  X: -109.084167     Y: 64.968361     Z: 36.151485
Vertex 54:  X: -96.769363     Y: 68.050766     Z: 27.669153
Vertex 55:  X: -88.540871     Y: 70.110359     Z: 14.974442

                                     Page 1



Vertex 56:  X: -85.651405     Y: 70.833595     Z: 0.000009
Vertex 57:  X: -88.540871     Y: 70.110359     Z: -14.974424
Vertex 58:  X: -96.769356     Y: 68.050766     Z: -27.669136
Vertex 59:  X: -109.084167     Y: 64.968353     Z: -36.151478
Vertex 60:  X: -123.610481     Y: 61.332401     Z: -39.130081
Vertex 61:  X: -138.136795     Y: 57.696453     Z: -36.151478
Vertex 62:  X: -150.451614     Y: 54.614052     Z: -27.669134
Vertex 63:  X: -158.680099     Y: 52.554455     Z: -14.974411
Vertex 64:  X: -133.794724     Y: -6.920366     Z: 0.000015
Vertex 65:  X: -131.401978     Y: -5.146431     Z: 14.97445
Vertex 66:  X: -124.588013     Y: -0.094702     Z: 27.669165
Vertex 67:  X: -114.390198     Y: 7.465739     Z: 36.151497
Vertex 68:  X: -102.361053     Y: 16.383898     Z: 39.130096
Vertex 69:  X: -90.331909     Y: 25.30205     Z: 36.151493
Vertex 70:  X: -80.134094     Y: 32.862492     Z: 27.669157
Vertex 71:  X: -73.320129     Y: 37.914215     Z: 14.974447
Vertex 72:  X: -70.927383     Y: 39.688148     Z: 0.000014
Vertex 73:  X: -73.320129     Y: 37.914215     Z: -14.974419
Vertex 74:  X: -80.134087     Y: 32.862488     Z: -27.669132
Vertex 75:  X: -90.331902     Y: 25.30204     Z: -36.151474
Vertex 76:  X: -102.361053     Y: 16.383888     Z: -39.130077
Vertex 77:  X: -114.390198     Y: 7.465729     Z: -36.15147
Vertex 78:  X: -124.58802     Y: -0.094717     Z: -27.669127
Vertex 79:  X: -131.401978     Y: -5.146442     Z: -14.974403
Vertex 80:  X: -85.650818     Y: -50.570816     Z: 0.000021
Vertex 81:  X: -84.119064     Y: -48.016247     Z: 14.974457
Vertex 82:  X: -79.756996     Y: -40.741467     Z: 27.66917
Vertex 83:  X: -73.228699     Y: -29.853992     Z: 36.151505
Vertex 84:  X: -65.528053     Y: -17.011341     Z: 39.1301
Vertex 85:  X: -57.827404     Y: -4.168683     Z: 36.151497
Vertex 86:  X: -51.299114     Y: 6.718789     Z: 27.669163
Vertex 87:  X: -46.937046     Y: 13.993567     Z: 14.97445
Vertex 88:  X: -45.405293     Y: 16.54813     Z: 0.000017
Vertex 89:  X: -46.937046     Y: 13.993564     Z: -14.974416
Vertex 90:  X: -51.299107     Y: 6.71879     Z: -27.669127
Vertex 91:  X: -57.827404     Y: -4.168693     Z: -36.15147
Vertex 92:  X: -65.528053     Y: -17.011351     Z: -39.130074
Vertex 93:  X: -73.228706     Y: -29.85401     Z: -36.151466
Vertex 94:  X: -79.756996     Y: -40.741489     Z: -27.669121
Vertex 95:  X: -84.119064     Y: -48.016266     Z: -14.974397
Vertex 96:  X: -24.467348     Y: -72.474686     Z: 0.000024
Vertex 97:  X: -24.029781     Y: -69.528389     Z: 14.97446
Vertex 98:  X: -22.783695     Y: -61.138088     Z: 27.669172
Vertex 99:  X: -20.918798     Y: -48.581097     Z: 36.151505
Vertex 100:  X: -18.719     Y: -33.769123     Z: 39.130104
Vertex 101:  X: -16.519203     Y: -18.95715     Z: 36.151497
Vertex 102:  X: -14.654305     Y: -6.400167     Z: 27.669165
Vertex 103:  X: -13.40822     Y: 1.990143     Z: 14.974452
Vertex 104:  X: -12.970654     Y: 4.93643     Z: 0.000019
Vertex 105:  X: -13.40822     Y: 1.990146     Z: -14.974414
Vertex 106:  X: -14.654305     Y: -6.400159     Z: -27.669125
Vertex 107:  X: -16.519203     Y: -18.957151     Z: -36.15147
Vertex 108:  X: -18.719     Y: -33.769131     Z: -39.13007
Vertex 109:  X: -20.918798     Y: -48.58112     Z: -36.151463
Vertex 110:  X: -22.783697     Y: -61.138111     Z: -27.669117
Vertex 111:  X: -24.029781     Y: -69.528412     Z: -14.974394
Vertex 112:  X: 40.441055     Y: -69.297318     Z: 0.000024
Vertex 113:  X: 39.717819     Y: -66.407845     Z: 14.974459
Vertex 114:  X: 37.658218     Y: -58.179363     Z: 27.669172
Vertex 115:  X: 34.575806     Y: -45.864559     Z: 36.151505
Vertex 116:  X: 30.939854     Y: -31.338243     Z: 39.130104

                                     Page 2



Vertex 117:  X: 27.3039     Y: -16.811939     Z: 36.151497
Vertex 118:  X: 24.221489     Y: -4.497129     Z: 27.669165
Vertex 119:  X: 22.161888     Y: 3.731354     Z: 14.974452
Vertex 120:  X: 21.438652     Y: 6.620817     Z: 0.000019
Vertex 121:  X: 22.161886     Y: 3.731357     Z: -14.974415
Vertex 122:  X: 24.221487     Y: -4.497129     Z: -27.669125
Vertex 123:  X: 27.3039     Y: -16.811941     Z: -36.15147
Vertex 124:  X: 30.939854     Y: -31.338255     Z: -39.13007
Vertex 125:  X: 34.575809     Y: -45.864567     Z: -36.151466
Vertex 126:  X: 37.658222     Y: -58.179386     Z: -27.669119
Vertex 127:  X: 39.717823     Y: -66.407867     Z: -14.974395
Vertex 128:  X: 99.192673     Y: -41.52243     Z: 0.00002
Vertex 129:  X: 97.418739     Y: -39.129681     Z: 14.974456
Vertex 130:  X: 92.367004     Y: -32.315723     Z: 27.669168
Vertex 131:  X: 84.806557     Y: -22.117916     Z: 36.151501
Vertex 132:  X: 75.88839     Y: -10.088779     Z: 39.1301
Vertex 133:  X: 66.97023     Y: 1.940364     Z: 36.151497
Vertex 134:  X: 59.409779     Y: 12.138169     Z: 27.669163
Vertex 135:  X: 54.358047     Y: 18.952124     Z: 14.974449
Vertex 136:  X: 52.584114     Y: 21.344868     Z: 0.000016
Vertex 137:  X: 54.358044     Y: 18.95212     Z: -14.974417
Vertex 138:  X: 59.409775     Y: 12.138169     Z: -27.669127
Vertex 139:  X: 66.97023     Y: 1.940354     Z: -36.15147
Vertex 140:  X: 75.88839     Y: -10.08879     Z: -39.130074
Vertex 141:  X: 84.806557     Y: -22.117933     Z: -36.151466
Vertex 142:  X: 92.367012     Y: -32.315739     Z: -27.669121
Vertex 143:  X: 97.418747     Y: -39.1297     Z: -14.974399
Vertex 144:  X: 142.843079     Y: 6.621488     Z: 0.000013
Vertex 145:  X: 140.288513     Y: 8.153243     Z: 14.974448
Vertex 146:  X: 133.013733     Y: 12.515306     Z: 27.669163
Vertex 147:  X: 122.126259     Y: 19.043596     Z: 36.151497
Vertex 148:  X: 109.2836     Y: 26.744234     Z: 39.130096
Vertex 149:  X: 96.440933     Y: 34.444874     Z: 36.151489
Vertex 150:  X: 85.553459     Y: 40.97316     Z: 27.669157
Vertex 151:  X: 78.278679     Y: 45.335217     Z: 14.974446
Vertex 152:  X: 75.724113     Y: 46.86697     Z: 0.000013
Vertex 153:  X: 78.278671     Y: 45.335213     Z: -14.97442
Vertex 154:  X: 85.553452     Y: 40.973156     Z: -27.669134
Vertex 155:  X: 96.440933     Y: 34.444866     Z: -36.151474
Vertex 156:  X: 109.2836     Y: 26.744223     Z: -39.130077
Vertex 157:  X: 122.126266     Y: 19.043579     Z: -36.151474
Vertex 158:  X: 133.013748     Y: 12.51529     Z: -27.669128
Vertex 159:  X: 140.288528     Y: 8.153232     Z: -14.974405
Vertex 160:  X: 164.746933     Y: 67.804962     Z: 0.000004
Vertex 161:  X: 161.800644     Y: 68.242531     Z: 14.974439
Vertex 162:  X: 153.410324     Y: 69.488617     Z: 27.669153
Vertex 163:  X: 140.853333     Y: 71.353508     Z: 36.151489
Vertex 164:  X: 126.041359     Y: 73.553291     Z: 39.130089
Vertex 165:  X: 111.229378     Y: 75.753082     Z: 36.151485
Vertex 166:  X: 98.672394     Y: 77.617973     Z: 27.669151
Vertex 167:  X: 90.282082     Y: 78.864044     Z: 14.974441
Vertex 168:  X: 87.3358     Y: 79.301613     Z: 0.000008
Vertex 169:  X: 90.282082     Y: 78.864044     Z: -14.974425
Vertex 170:  X: 98.672386     Y: 77.617966     Z: -27.669138
Vertex 171:  X: 111.229378     Y: 75.753067     Z: -36.151482
Vertex 172:  X: 126.041359     Y: 73.553276     Z: -39.130085
Vertex 173:  X: 140.853348     Y: 71.3535     Z: -36.151482
Vertex 174:  X: 153.410339     Y: 69.488609     Z: -27.669138
Vertex 175:  X: 161.800644     Y: 68.242531     Z: -14.974415
Vertex 176:  X: 161.569504     Y: 132.713364     Z: -0.000006
Vertex 177:  X: 158.680038     Y: 131.990128     Z: 14.974429

                                     Page 3



Vertex 178:  X: 150.451553     Y: 129.930527     Z: 27.669144
Vertex 179:  X: 138.136749     Y: 126.848099     Z: 36.151482
Vertex 180:  X: 123.610443     Y: 123.212143     Z: 39.130081
Vertex 181:  X: 109.084137     Y: 119.57618     Z: 36.151478
Vertex 182:  X: 96.769333     Y: 116.493759     Z: 27.669146
Vertex 183:  X: 88.540848     Y: 114.434151     Z: 14.974436
