DICT Англо-русский словарик на 1665 слов
abandon|эбэндэн|покидать, отказывать
abend|эбэнд|аварийное завершение
abort|эбоот|преждевременное окончание
above|эбав|вышеупомянутый, над, свыше
abnormal|эбномэл|аварийный
abrupt|эбрапт|резкий, крутой
absolute|абсэлюют|неизменный, машинный
abstract|абстракт|краткое изложение
abundant|эбандэнт|обильный, избыточный
accept|эксэпт|принять, соглашаться
acceleration|акселерейшн|разгон, время пуска
accept(ing)|экселт(инг)|принять, соглашаться(прием)
access|аксес|доступ, выборка, обращение
accident(al)|аксидэнт(л)|случай, особенность(ный)
accomodate|экомодэйт|приспасабливаться
accomplish|экомплиш|совершать, достигать
accord|экоод|соглашение, оказывать
account|экаунт|счет, отчет
accumulator|экьюмьюлейтэ|накапливающий сумматор, рег.
accuracy|экьюрэси|точность, правильность
accustom|экастэм|приучать
achieve|эчиив|достигать, выполнять
acknowledge|экноулидж|подтверждение
acquaint|эквэйнт|знакомить, осведомлять
acquire|эквайэ|приобретать, овладевать
acquisition|аквизишн|сбор
action|экшн|действие
activation|эктивэйшн|возбуждение
active|актив|активный, готовый к работе
activity(loc)|эктивити(лог)|работа(протокол работы)
actual|эктьюэл|фактический
acute|экьюют|острый, резкий
adapt|эдапт|приспасабливать(ся)
add(ition)|эд(дишн)|сложить(сложение)
adder|эддэ|сумматор
addressable|эдресэбл|адресуемый
addressing|эдрэсинг|адресация
adequate|эдэквэйт|подходящий
adhere(nce)|эдхиэ(нс)|приставать(соблюдение)
adjacent|эджэйсэнт|смежный
adjast(ment)|эджаст(мэнт)|настраивать(настройка)
adjunct|аджанкт|помошник, дополнение
adjustable|эджастэбл|регулируемый
administer|эдминистэ|вести, управлять
admission|эдмишн|допущение
admit|эдмит|допускать
adopt(ion)|эдопт(шн)|принимать(приемный)
advance|эдвэнс|упреждать, опережение
advansing|эдвансинг|продвижение
advantage|эдвантидж|преимущество
aegis|ииджис|защита, эгида
affect|эфэкт|влиять
affinity|эвинити|родство, сходство
affirm|эфэом|подтверждать
affix|эфикс|присоединить
afford|эфоод|предоставлять, давать
after|афтэ|после
again|эгэйн|снова
agency|эйдженси|посредничество, содействие
aggravate|агревейт|отягощать, раздражать
agree(ment)|эгри(мэнт)|совпадать(соглашение)
aggregate|эгригит|группировать
agitate|аджитэйт|волновать, взбалтывать
ahead|эхед|впереди, раньше
aid|эйд|вспомогательное средство
alarm|элаам|тревога, страх
alerating|элээтинг|вызов
alias|элайс|псевдоним
alien|эйлиэн|посторонний, чуждый
alignment|элайнмент|выравнивание
alined|элайнд|выровненный
all|ол|все
allege(dly)|элэдж(дли)|утверждать(якобы)
allied|элайд|союзный, близкий
alloc(ated)|элок(эйтид)|распределитель(размещенный)
allocation|элокэйшн|размещение
allow|элау|позволять, допускать
alloy|эллоу|сплав
along|элонг|вдоль, по
alphabetic|элфэбэтик|буквенный
alphameric|элфэмэрик|алфавитно|цифровой
already|олрэди|уже, все готово
altenate|олтэнэйт|запасной
alter(nate)|олтэ(нэйт)|изменять (переменный)
alteration|оолтэрэйшн|изменение
although|оолзоу|хотя, несмотря на
altitude|олтитьюд|высота
altogether|оолтэгэзэ|совсем, всего
ambiguous|эмбигьюэс|неоднозначный
ambient|амбиент|окружающий
ambitious|амбишес|честолюбивый
amend|эмэнд|исправлять(ся)
amount|эмаунт|количество
ample|ампл|обильный, обширный
amplifier|эмплифайэ|усилитель
ancestry|ансистри|предки, происхождение
anew|энью|снова, по новому
angle|энгл|угол
anneal|эниил|отжиг(ать)
announce|энаунс|продиктовать, об'являть
answer(ing)|ансвэ(ринг)|ответ (посылка ответа)
anticipate|антисипэйт|предупреждать
anyhow|энихау|как|нибудь, так или иначе
anyway|эниувэй|во всяком случае
apart from|эпат фоом|не говоря о ....
aperture|эпэтьюд|отверстие в п/к, п/л, сердечнике
appeal|эпиил|призыв, привлекать
appear|эпиэ|появляться
application|апликэйшн|применение
applied|эплайд|прикладной
apply|эплай|применить
appreciable|апришэбл|ощутимый, заметный
approach|эпроуч|подход, метод
appropriate|эпроуприит|подходящий
apt(itude)|апт(итьюд)|подходящий (способность)
arbitrary|аабитрэри|произвольный
arc(ing)|аак(инг)|дуга (искрение)
arduous|аадьюс|напряженный
